EventID,EventType,Status,Seed,ScheduledTime,ExecutedTime,RandomSeed
1,INITIAL_DRAW,EXECUTED,,2026-06-08T20:00:30+01:00,2026-06-08T19:02:30+00:00,1
2,MULLIGAN_DRAW,EXECUTED,,2026-06-11T18:36:11+00:00,2026-06-11T18:36:11+00:00,48473808
3,MULLIGAN_DRAW,EXECUTED,,2026-06-11T18:38:26.048630+00:00,2026-06-11T18:38:26+00:00,1555382814
4,MULLIGAN_DRAW,EXECUTED,,2026-06-11T18:42:29.986374+00:00,2026-06-11T18:42:29+00:00,313448734
5,TOURNAMENT_COMPLETE,EXECUTED,,2026-07-20T09:14:34+00:00,2026-07-20T09:14:34+00:00,2102383817
